,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO,data_registro,ID_CONTROLE
,CVLI,Homicídio,08/03/2012,18:00,Porto Real do Colégio,Zona Rural,Masculino,NI,41.0,PAF,Porta de Casa,2012-03-08 18:00:00,443.0
,CVLI,Homicídio,08/03/2012,19:40,Santana do Ipanema,Centro,Masculino,Parda,19.0,PAF,Terreno Baldio,2012-03-08 19:40:00,444.0
,CVLI,Homicídio,08/03/2012,06:00,Junqueiro,Zona Rural,Masculino,Parda,,PAF,Vegetação,2012-03-08 06:00:00,445.0
,CVLI,Homicídio,08/03/2012,06:00,Junqueiro,Zona Rural,Masculino,Preta,,PAF,Vegetação,2012-03-08 06:00:00,446.0
,CVLI,Homicídio,09/03/2012,00:40,Maceió,Clima Bom,Masculino,Parda,26.0,PAF,Terreno Baldio,2012-03-09 00:40:00,447.0
,CVLI,Homicídio,09/03/2012,18:00,Arapiraca,Primavera,Masculino,Parda,16.0,PAF,Porta de Casa,2012-03-09 18:00:00,448.0
,CVLI,Homicídio,09/03/2012,04:00,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,32.0,PAF,Via Pública,2012-03-09 04:00:00,449.0
,CVLI,Homicídio,09/03/2012,04:30,Canapi,Zona Rural,Masculino,Parda,29.0,PAF,Porta de Casa,2012-03-09 04:30:00,450.0
,CVLI,Homicídio,01/12/2012,21:23,Maceió,Vergel do Lago,Masculino,Parda,20.0,PAF,Imediações de Casa,2012-12-01 21:23:00,2713.0
,CVLI,Homicídio,10/03/2012,21:30,Rio Largo,Zona Rural,Masculino,Parda,31.0,PAF,Via Pública,2012-03-10 21:30:00,452.0
,CVLI,Homicídio,10/03/2012,07:30,Maceió,Jacintinho,Masculino,NI,26.0,PAF,Terreno Baldio,2012-03-10 07:30:00,453.0
,CVLI,Homicídio,10/03/2012,15:45,São José da Laje,Zona Rural,Masculino,Preta,23.0,BRANCA,Próximo de Casa,2012-03-10 15:45:00,454.0
,CVLI,Homicídio,09/03/2012,20:30,Maceió,Santa Lúcia,Masculino,Parda,56.0,ASFIXIA MECÂNICA,Quarto de Motel,2012-03-09 20:30:00,455.0
,CVLI,Homicídio,10/03/2012,18:30,Marechal Deodoro,Zona Rural,Masculino,Parda,22.0,PAF,Próximo de Casa,2012-03-10 18:30:00,456.0
,CVLI,Homicídio,10/03/2012,22:00,Maceió,Santos Dumont,Masculino,Parda,21.0,PAF,Imediações de Casa,2012-03-10 22:00:00,457.0
,CVLI,Homicídio,01/12/2014,20:50,Maceió,Benedito Bentes,Masculino,Parda,35.0,PAF,Imediações de Casa,2014-12-01 20:50:00,10851.0
,CVLI,Homicídio,11/03/2012,23:30,Lagoa da Canoa,Centro,Masculino,NI,17.0,PAF,Terreno Baldio,2012-03-11 23:30:00,459.0
,CVLI,Homicídio,11/03/2012,20:30,Pilar,Chã do Pilar,Masculino,Preta,35.0,PAF,Dentro de Casa,2012-03-11 20:30:00,460.0
,CVLI,Homicídio,11/03/2012,23:10,Rio Largo,Centro,Masculino,Parda,25.0,PAF,Via Pública,2012-03-11 23:10:00,461.0
,CVLI,Homicídio,11/03/2012,18:30,Maceió,Jacintinho,Feminino,NI,17.0,PAF,Via Pública,2012-03-11 18:30:00,462.0
,CVLI,Homicídio,11/03/2012,06:00,Jaramataia,Zona Rural,Masculino,Parda,33.0,PAF,Estrada Vicinal,2012-03-11 06:00:00,463.0
,CVLI,Roubo com Resultado Morte,11/03/2012,19:00,Arapiraca,Zona Rural Oeste,Masculino,Parda,15.0,PAF,Estrada Vicinal,2012-03-11 19:00:00,464.0
,CVLI,Homicídio,11/03/2012,19:30,Penedo,Centro,Masculino,Preta,23.0,PAF,Bar,2012-03-11 19:30:00,465.0
,CVLI,Homicídio,11/03/2012,21:50,Craíbas,Zona Rural,Masculino,Parda,18.0,PAF,Próximo de Casa,2012-03-11 21:50:00,467.0
,CVLI,Roubo com Resultado Morte,12/03/2012,02:00,Mata Grande,Zona Rural,Masculino,Parda,26.0,PAF,Via Pública,2012-03-12 02:00:00,468.0
,CVLI,Homicídio,12/03/2012,00:30,Estrela de Alagoas,Centro,Masculino,Parda,26.0,PAF,Via Pública,2012-03-12 00:30:00,469.0
,CVLI,Homicídio,13/03/2012,14:00,Murici,Centro,Masculino,Parda,49.0,PAF,Via Pública,2012-03-13 14:00:00,470.0
,CVLI,Roubo com Resultado Morte,13/03/2012,19:30,Arapiraca,Sítio Mulungu,Masculino,Branca,34.0,PAF,Via Pública,2012-03-13 19:30:00,471.0
,CVLI,Homicídio,13/03/2012,23:00,Maceió,Tabuleiro do Martins,Masculino,Parda,23.0,PAF,Dentro de Casa,2012-03-13 23:00:00,472.0
,CVLI,Lesão Corporal Seguida de Morte,12/03/2012,22:00,Palmeira dos Índios,Vila Maria,Masculino,Parda,52.0,ESPANCAMENTO,Dentro de Casa,2012-03-12 22:00:00,473.0
,CVLI,Homicídio,13/03/2012,20:30,Dois Riachos,Centro,Masculino,Parda,48.0,PAF,Casa de aposta,2012-03-13 20:30:00,474.0
,CVLI,Homicídio,13/03/2012,05:30,Maceió,Jacintinho,Masculino,Branca,31.0,PAF,Via Pública,2012-03-13 05:30:00,475.0
,CVLI,Homicídio,13/03/2012,09:00,Maceió,Jacintinho,Masculino,NI,21.0,BRANCA,Casa Abandonada,2012-03-13 09:00:00,477.0
,CVLI,Homicídio,14/03/2012,12:50,Maceió,Clima Bom,Masculino,Parda,39.0,PAF,Próximo de Casa,2012-03-14 12:50:00,478.0
,CVLI,Homicídio,14/03/2012,18:20,Joaquim Gomes,Zona Rural,Masculino,Parda,39.0,PAF,Próximo de Casa,2012-03-14 18:20:00,479.0
,CVLI,Homicídio,14/03/2012,12:00,Canapi,Zona Rural,Masculino,Parda,24.0,PAF,Via Pública,2012-03-14 12:00:00,480.0
,CVLI,Homicídio,14/03/2012,21:00,Arapiraca,Zélia Barbosa Rocha,Masculino,Parda,17.0,PAF,Via Pública,2012-03-14 21:00:00,481.0
,CVLI,Roubo com Resultado Morte,14/03/2012,22:00,São Miguel dos Campos,Centro,Masculino,NI,19.0,PAF,Via Pública,2012-03-14 22:00:00,482.0
,CVLI,Homicídio,14/03/2012,05:15,Maceió,Centro,Masculino,NI,19.0,BRANCA,Via Pública,2012-03-14 05:15:00,483.0
,CVLI,Homicídio,15/03/2012,19:00,São Sebastião,Zona Rural,Masculino,Parda,19.0,PAF,Via Pública,2012-03-15 19:00:00,484.0
,CVLI,Homicídio,15/03/2012,20:30,Maceió,Feitosa,Masculino,Parda,17.0,PAF,Via Pública,2012-03-15 20:30:00,485.0
,CVLI,Homicídio,15/03/2012,01:20,Arapiraca,Primavera,Masculino,Parda,15.0,PAF,Próximo de Casa,2012-03-15 01:20:00,486.0
,CVLI,Homicídio,15/03/2012,18:00,Maceió,Santos Dumont,Masculino,NI,20.0,PAF,Via Pública,2012-03-15 18:00:00,487.0
,CVLI,Homicídio,15/03/2012,21:40,Arapiraca,Zona Rural Leste,Masculino,Preta,29.0,PAF,Bar,2012-03-15 21:40:00,488.0
,CVLI,Homicídio,15/03/2012,22:20,Arapiraca,Cacimbas,Masculino,Parda,36.0,PAF,Casa de Amigo,2012-03-15 22:20:00,490.0
,CVLI,Roubo com Resultado Morte,15/03/2012,09:00,Atalaia,Zona Rural,Masculino,Parda,33.0,PAF,Interior de Microônibus,2012-03-15 09:00:00,491.0
,CVLI,Homicídio,16/03/2012,08:20,Marechal Deodoro,Zona Rural,Feminino,Branca,19.0,PAF,Vegetação,2012-03-16 08:20:00,492.0
,CVLI,Homicídio,16/03/2012,11:30,Maceió,Jacintinho,Masculino,NI,21.0,PAF,Via Pública,2012-03-16 11:30:00,494.0
,CVLI,Homicídio,01/12/2016,12:30,Maceió,Benedito Bentes,Masculino,Parda,30.0,PAF,Imediações de Casa,2016-12-01 12:30:00,18481.0
,CVLI,Homicídio,17/03/2012,20:30,Maceió,Tabuleiro do Martins,Masculino,Parda,32.0,PAF,Via Pública,2012-03-17 20:30:00,496.0
,CVLI,Homicídio,17/03/2012,20:00,São Miguel dos Campos,Centro,Masculino,Parda,20.0,PAF,Próximo de Casa,2012-03-17 20:00:00,497.0
,CVLI,Homicídio,17/03/2012,13:30,Maceió,Farol,Masculino,NI,65.0,PAF,Porta de Casa,2012-03-17 13:30:00,498.0
,CVLI,Homicídio,17/03/2012,03:00,Maceió,Bebedouro,Masculino,NI,22.0,PAF,Via Pública,2012-03-17 03:00:00,499.0
,CVLI,Homicídio,17/03/2012,17:30,Girau do Ponciano,Centro,Masculino,NI,33.0,PAF,Porta de Casa,2012-03-17 17:30:00,500.0
,CVLI,Homicídio,17/03/2012,14:00,Teotônio Vilela,Zona Rural,Masculino,NI,19.0,BRANCA,Próximo de Casa,2012-03-17 14:00:00,501.0
,CVLI,Homicídio,17/03/2012,16:30,Arapiraca,Planalto,Masculino,Parda,49.0,PAF/B,Via Pública,2012-03-17 16:30:00,502.0
,CVLI,Homicídio,17/03/2012,07:00,Traipu,Zona Rural,Masculino,Parda,28.0,PAF,Propriedade,2012-03-17 07:00:00,503.0
,CVLI,Homicídio,18/03/2012,16:00,Maceió,Cidade Universitária,Masculino,NI,35.0,ESPANCAMENTO,HGE,2012-03-18 16:00:00,504.0
,CVLI,Homicídio,18/03/2012,01:40,São Luís do Quitunde,Zona Rural,Masculino,Parda,20.0,PAF,Via Pública,2012-03-18 01:40:00,505.0
,CVLI,Homicídio,18/03/2012,14:00,Maceió,Clima Bom,Masculino,NI,18.0,PAF,Porta de Casa,2012-03-18 14:00:00,507.0
,CVLI,Homicídio,18/03/2012,18:15,Campo Alegre,Zona Rural,Masculino,Parda,61.0,ESPANCAMENTO,Imediações de Casa,2012-03-18 18:15:00,508.0
,CVLI,Homicídio,18/03/2012,07:45,Penedo,Centro,Masculino,NI,23.0,PAF,Via Pública,2012-03-18 07:45:00,509.0
,CVLI,Homicídio,18/03/2012,01:40,São Luís do Quitunde,Zona Rural,Masculino,NI,17.0,PAF,Via Pública,2012-03-18 01:40:00,511.0
,CVLI,Homicídio,18/03/2012,22:00,Maceió,Santos Dumont,Feminino,NI,14.0,PAF,Via Pública,2012-03-18 22:00:00,512.0
,CVLI,Homicídio,18/03/2012,03:50,Palmeira dos Índios,São Cristóvão,Masculino,Parda,24.0,PAF,Via Pública,2012-03-18 03:50:00,513.0
,CVLI,Homicídio,19/03/2012,18:00,Maceió,Prado,Masculino,NI,26.0,PAF,Via Pública,2012-03-19 18:00:00,514.0
,CVLI,Homicídio,19/03/2012,14:00,Maceió,Riacho Doce,Masculino,Preta,24.0,PAF,Via Pública,2012-03-19 14:00:00,516.0
,CVLI,Homicídio,19/03/2012,23:30,Arapiraca,Zona Rural Oeste,Masculino,Parda,20.0,PAF,Via Pública,2012-03-19 23:30:00,517.0
,CVLI,Homicídio,19/03/2012,21:00,Quebrangulo,Centro,Masculino,Branca,48.0,BRANCA,Via Pública,2012-03-19 21:00:00,518.0
,CVLI,Homicídio,19/03/2012,15:00,Maceió,Poço,Masculino,Branca,23.0,PAF,Via Pública,2012-03-19 15:00:00,519.0
,CVLI,Roubo com Resultado Morte,19/03/2012,23:00,Maceió,Tabuleiro do Martins,Masculino,NI,52.0,PAF,Via Pública,2012-03-19 23:00:00,520.0
,CVLI,Homicídio,19/03/2012,11:20,Maceió,Jacintinho,Masculino,NI,29.0,PAF,Próximo de Casa,2012-03-19 11:20:00,521.0
,CVLI,Homicídio,20/03/2012,10:00,Rio Largo,Zona Rural,Masculino,Parda,13.0,PAF,Vegetação,2012-03-20 10:00:00,522.0
,CVLI,Homicídio,20/03/2012,12:00,Maceió,Bebedouro,Masculino,NI,26.0,PAF,Dentro de Casa,2012-03-20 12:00:00,523.0
,CVLI,Homicídio,20/03/2012,19:30,Maceió,Chã da Jaqueira,Masculino,Parda,40.0,PAF,Porta de Casa,2012-03-20 19:30:00,524.0
,CVLI,Homicídio,01/12/2017,18:51,Maceió,Benedito Bentes,Masculino,Parda,19.0,BRANCA,Imediações de Casa,2017-12-01 18:51:00,23311.0
,CVLI,Homicídio,02/01/2012,13:15,Maceió,Benedito Bentes,Masculino,NI,20.0,PAF,Via Pública,2012-01-02 13:15:00,42.0
,CVLI,Homicídio,21/03/2012,05:30,Viçosa,Zona Rural,Masculino,NI,29.0,PAF,Dentro de Casa,2012-03-21 05:30:00,527.0
,CVLI,Homicídio,22/03/2012,15:30,Maceió,Cidade Universitária,Masculino,Preta,15.0,PAF,Residência,2012-03-22 15:30:00,528.0
,CVLI,Homicídio,22/03/2012,21:40,Maceió,Cidade Universitária,Masculino,NI,12.0,PAF,Próximo de Casa,2012-03-22 21:40:00,529.0
,CVLI,Homicídio,23/03/2012,23:30,Maceió,Jacintinho,Masculino,Parda,29.0,PAF,Porta de Casa,2012-03-23 23:30:00,530.0
,CVLI,Homicídio,19/03/2012,12:00,Maceió,Rio Novo,Masculino,Parda,21.0,PAF,Via Pública,2012-03-19 12:00:00,531.0
,CVLI,Homicídio,02/01/2013,20:00,Maceió,Benedito Bentes,Masculino,Parda,31.0,PAF,Próximo de Casa,2013-01-02 20:00:00,3092.0
,CVLI,Homicídio,23/03/2012,20:00,Arapiraca,Bom Sucesso,Masculino,Parda,28.0,PAF,Via Pública,2012-03-23 20:00:00,533.0
,CVLI,Homicídio,02/01/2016,00:04,Maceió,Vergel do Lago,Masculino,Parda,37.0,PAF,Imediações de Casa,2016-01-02 00:04:00,15034.0
,CVLI,Homicídio,23/03/2012,23:20,Maceió,Trapiche da Barra,Masculino,NI,24.0,PAF,Via Pública,2012-03-23 23:20:00,535.0
,CVLI,Homicídio,24/03/2012,21:30,Maceió,Jacintinho,Masculino,Parda,23.0,PAF,Via Pública,2012-03-24 21:30:00,536.0
,CVLI,Roubo com Resultado Morte,24/03/2012,15:45,Maceió,Clima Bom,Masculino,NI,28.0,PAF,Estabelecimento Comercial,2012-03-24 15:45:00,537.0
,CVLI,Homicídio,24/03/2012,12:00,Maceió,Jacintinho,Masculino,NI,17.0,PAF,Via Pública,2012-03-24 12:00:00,538.0
,CVLI,Homicídio,24/03/2012,02:20,Pilar,Chã do Pilar,Masculino,NI,20.0,PAF,Via Pública,2012-03-24 02:20:00,539.0
,CVLI,Homicídio,24/03/2012,03:30,Colônia Leopoldina,Centro,Masculino,Preta,30.0,PAF,Via Pública,2012-03-24 03:30:00,540.0
,CVLI,Homicídio,24/03/2012,16:00,Maragogi,Centro,Masculino,Parda,19.0,BRANCA,Via Pública,2012-03-24 16:00:00,541.0
,CVLI,Lesão Corporal Seguida de Morte,25/03/2012,23:50,Maceió,Feitosa,Feminino,Preta,38.0,PAF,Dentro de Casa,2012-03-25 23:50:00,542.0
,CVLI,Homicídio,25/03/2012,00:30,Pilar,Chã do Pilar,Masculino,NI,38.0,PAF,Via Pública,2012-03-25 00:30:00,543.0
,CVLI,Homicídio,25/03/2012,19:00,Arapiraca,Brasília,Masculino,Parda,27.0,BRANCA,Via Pública,2012-03-25 19:00:00,544.0
,CVLI,Homicídio,25/03/2012,01:00,Pilar,Chã do Pilar,Masculino,NI,21.0,PAF,Bar,2012-03-25 01:00:00,545.0
,CVLI,Homicídio,26/03/2012,00:05,Maceió,Feitosa,Masculino,Parda,32.0,PAF,Via Pública,2012-03-26 00:05:00,546.0
,CVLI,Homicídio,25/03/2012,13:00,Barra de Santo Antônio,Zona Rural,Masculino,NI,18.0,PAF,Vegetação,2012-03-25 13:00:00,547.0
,CVLI,Homicídio,25/03/2012,23:00,Maceió,Feitosa,Masculino,NI,34.0,PAF,Dentro de Casa,2012-03-25 23:00:00,548.0
,CVLI,Homicídio,25/03/2012,00:00,Maceió,Bairro não Informado,Masculino,NI,,ESPANCAMENTO,,2012-03-25 00:00:00,549.0
,CVLI,Homicídio,25/03/2012,22:00,Maceió,Clima Bom,Masculino,NI,41.0,PAF,Próximo de Casa,2012-03-25 22:00:00,550.0
,CVLI,Homicídio,25/03/2012,23:50,Maceió,Chã de Bebedouro,Masculino,NI,32.0,BRANCA,Residência de Ex-esposa,2012-03-25 23:50:00,551.0
,CVLI,Homicídio,24/03/2012,09:30,Viçosa,Zona Rural,Masculino,NI,37.0,PAF,Próximo de Casa,2012-03-24 09:30:00,552.0
,CVLI,Homicídio,25/03/2012,19:30,São Luís do Quitunde,Centro,Masculino,NI,15.0,BRANCA,Via Pública,2012-03-25 19:30:00,553.0
,CVLI,Homicídio,02/01/2024,23:33,Maceió,Vergel do Lago,Masculino,Parda,31.0,PAF,Dentro de Casa,2024-01-02 23:33:00,55752.0
,CVLI,Homicídio,02/02/2013,09:00,Maceió,Benedito Bentes,Masculino,Parda,28.0,PAF,Via Pública,2013-02-02 09:00:00,3406.0
,CVLI,Homicídio,26/03/2012,05:30,Arapiraca,Eldorado,Masculino,Parda,15.0,PAF,Via Pública,2012-03-26 05:30:00,556.0
,CVLI,Homicídio,27/03/2012,09:30,Maceió,Jacintinho,Masculino,Preta,28.0,PAF,Próximo de Casa,2012-03-27 09:30:00,557.0
,CVLI,Homicídio,27/03/2012,23:38,Arapiraca,Senador Arnon de Melo,Masculino,Parda,49.0,PAF,Local de Trabalho,2012-03-27 23:38:00,558.0
,CVLI,Homicídio,28/03/2012,19:40,Maceió,Santa Lúcia,Masculino,NI,45.0,PAF,Via Pública,2012-03-28 19:40:00,559.0
,CVLI,Homicídio,28/03/2012,20:00,Rio Largo,Tabuleiro do Pinto,Masculino,NI,20.0,PAF,Via Pública,2012-03-28 20:00:00,560.0
,CVLI,Homicídio,02/02/2013,18:41,Maceió,Vergel do Lago,Masculino,Parda,24.0,PAF,Bar,2013-02-02 18:41:00,3410.0
,CVLI,Homicídio,29/03/2012,13:00,Maceió,Clima Bom,Masculino,NI,27.0,PAF,Via Pública,2012-03-29 13:00:00,562.0
,CVLI,Homicídio,02/02/2015,11:00,Maceió,Benedito Bentes,Masculino,Parda,22.0,PAF,Dentro de Casa,2015-02-02 11:00:00,11593.0
,CVLI,Homicídio,29/03/2012,22:30,Maceió,Santa Amélia,Masculino,Parda,28.0,PAF,Via Pública,2012-03-29 22:30:00,564.0
,CVLI,Homicídio,02/02/2018,22:01,Maceió,Vergel do Lago,Masculino,Parda,29.0,ESPANCAMENTO,Local Público,2018-02-02 22:01:00,24281.0
,CVLI,Homicídio,30/03/2012,22:00,Maceió,Rio Novo,Masculino,NI,31.0,PAF,Próximo de Casa,2012-03-30 22:00:00,566.0
,CVLI,Homicídio,30/03/2012,19:27,Maceió,Jacintinho,Masculino,Parda,21.0,PAF,Via Pública,2012-03-30 19:27:00,567.0
,CVLI,Homicídio,30/03/2012,20:00,Maceió,Jatiúca,Masculino,Parda,28.0,PAF,Via Pública,2012-03-30 20:00:00,568.0
,CVLI,Homicídio,31/03/2012,19:17,Marechal Deodoro,Centro,Masculino,NI,31.0,PAF,Via Pública,2012-03-31 19:17:00,569.0
,CVLI,Homicídio,31/03/2012,19:30,Rio Largo,Mata do Rolo,Masculino,NI,33.0,PAF,Próximo de Casa,2012-03-31 19:30:00,570.0
,CVLI,Homicídio,31/03/2012,20:30,São José da Tapera,Centro,Masculino,Parda,21.0,PAF,Via Pública,2012-03-31 20:30:00,571.0
,CVLI,Lesão Corporal Seguida de Morte,31/03/2012,20:35,Maceió,Bairro não Informado,Masculino,Parda,21.0,PAF,,2012-03-31 20:35:00,572.0
,CVLI,Homicídio,31/03/2012,22:00,Junqueiro,Centro,Masculino,Parda,20.0,PAF,Dentro de Casa,2012-03-31 22:00:00,573.0
,CVLI,Homicídio,31/03/2012,17:16,Maceió,Jatiúca,Masculino,NI,42.0,PAF,Porta de Casa,2012-03-31 17:16:00,574.0
,CVLI,Homicídio,31/03/2012,07:45,São Miguel dos Campos,Zona Rural,Masculino,NI,58.0,BRANCA,Rio,2012-03-31 07:45:00,575.0
,CVLI,Homicídio,30/03/2012,19:00,Limoeiro de Anadia,Zona Rural,Masculino,Parda,18.0,BRANCA,Bar,2012-03-30 19:00:00,576.0
,CVLI,Homicídio,31/03/2012,19:30,Delmiro Gouveia,Centro,Masculino,Parda,32.0,PAF,Bar,2012-03-31 19:30:00,577.0
,CVLI,Homicídio,31/03/2012,00:00,Marechal Deodoro,Zona Rural,Masculino,NI,31.0,PAF,Via Pública,2012-03-31 00:00:00,578.0
,CVLI,Homicídio,01/04/2012,01:30,Marechal Deodoro,Centro,Masculino,Parda,22.0,PAF,Próximo de Casa,2012-04-01 01:30:00,579.0
,CVLI,Homicídio,01/04/2012,10:00,Maceió,Feitosa,Masculino,Parda,18.0,PAF,Porta de Casa,2012-04-01 10:00:00,581.0
,CVLI,Homicídio,01/04/2012,13:00,Traipu,Zona Rural,Masculino,Parda,31.0,PAF,Próximo de Casa,2012-04-01 13:00:00,582.0
,CVLI,Homicídio,01/04/2012,13:11,Marechal Deodoro,Zona Rural,Feminino,Parda,28.0,PAF,Vegetação,2012-04-01 13:11:00,583.0
,CVLI,Homicídio,01/04/2012,16:00,Cajueiro,Zona Rural,Masculino,Parda,23.0,BRANCA,Local Público,2012-04-01 16:00:00,584.0
,CVLI,Homicídio,01/04/2012,18:00,Arapiraca,Zélia Barbosa Rocha,Masculino,Parda,22.0,PAF,Porta de Casa,2012-04-01 18:00:00,585.0
,CVLI,Homicídio,01/04/2012,15:43,Maceió,Jacintinho,Masculino,Parda,20.0,PAF,Via Pública,2012-04-01 15:43:00,586.0
,CVLI,Homicídio,01/04/2012,20:40,Maceió,Levada,Masculino,Parda,24.0,PAF,Via Pública,2012-04-01 20:40:00,587.0
,CVLI,Homicídio,02/04/2012,09:00,Marechal Deodoro,Centro,Masculino,Parda,18.0,PAF,,2012-04-02 09:00:00,588.0
,CVLI,Homicídio,02/04/2012,11:25,Maceió,Tabuleiro do Martins,Masculino,Parda,18.0,PAF,Via Pública,2012-04-02 11:25:00,589.0
,CVLI,Homicídio,02/04/2012,12:30,Maceió,Cidade Universitária,Masculino,Parda,41.0,PAF,Interior de Veículo,2012-04-02 12:30:00,590.0
,CVLI,Homicídio,02/04/2012,13:30,Maceió,Bairro não Informado,Masculino,Parda,45.0,PAF,,2012-04-02 13:30:00,591.0
,CVLI,Homicídio,02/02/2022,20:21,Maceió,Benedito Bentes,Masculino,Parda,22.0,PAF,Via Pública,2022-02-02 20:21:00,47449.0
,CVLI,Roubo com Resultado Morte,02/04/2012,16:00,Campo Alegre,Zona Rural,Masculino,Parda,55.0,PAF,Interior de Coletivo,2012-04-02 16:00:00,593.0
,CVLI,Homicídio,02/04/2012,17:30,Coruripe,Centro,Masculino,Parda,35.0,PAF,Via Pública,2012-04-02 17:30:00,594.0
,CVLI,Homicídio,02/02/2024,21:39,Maceió,Benedito Bentes,Masculino,Parda,25.0,PAF,Via Pública,2024-02-02 21:39:00,56086.0
,CVLI,Homicídio,02/04/2012,21:30,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,16.0,PAF,Via Pública,2012-04-02 21:30:00,596.0
,CVLI,Homicídio,03/04/2012,00:00,Campo Alegre,Zona Rural,Masculino,NI,,PAF,Vegetação,2012-04-03 00:00:00,597.0
,CVLI,Homicídio,04/04/2012,19:30,Maceió,Levada,Masculino,Parda,53.0,PAF,Via Pública,2012-04-04 19:30:00,598.0
,CVLI,Roubo com Resultado Morte,04/04/2012,21:00,Maceió,Cidade Universitária,Masculino,Parda,18.0,PAF,Via Pública,2012-04-04 21:00:00,599.0
,CVLI,Homicídio,04/04/2012,22:30,Maceió,Farol,Masculino,Parda,19.0,PAF,Via Pública,2012-04-04 22:30:00,600.0
,CVLI,Homicídio,04/04/2012,23:00,Maceió,Tabuleiro do Martins,Masculino,Parda,,BRANCA,Via Pública,2012-04-04 23:00:00,601.0
,CVLI,Homicídio,05/04/2012,00:30,Marechal Deodoro,Zona Rural,Masculino,Branca,28.0,PAF,Via Pública,2012-04-05 00:30:00,602.0
,CVLI,Homicídio,24/04/2012,20:30,Barra de Santo Antônio,Centro,Masculino,Parda,28.0,PAF,Via Pública,2012-04-24 20:30:00,603.0
,CVLI,Homicídio,24/04/2012,15:00,Maceió,Tabuleiro do Martins,Masculino,Parda,34.0,PAF,Porta de Casa,2012-04-24 15:00:00,604.0
,CVLI,Homicídio,25/04/2012,14:00,Passo de Camaragibe,Zona Rural,Masculino,Parda,33.0,BRANCA,Rio,2012-04-25 14:00:00,605.0
,CVLI,Homicídio,25/04/2012,17:15,Limoeiro de Anadia,Zona Rural,Masculino,Branca,41.0,PAF,Estrada Vicinal,2012-04-25 17:15:00,606.0
,CVLI,Homicídio,25/04/2012,17:30,Maceió,Cidade Universitária,Masculino,NI,27.0,PAF,Próximo de Casa,2012-04-25 17:30:00,607.0
,CVLI,Homicídio,25/04/2012,19:30,Santana do Ipanema,Zona Rural,Feminino,Parda,18.0,PAF,Dentro de Casa,2012-04-25 19:30:00,608.0
,CVLI,Homicídio,25/04/2012,20:00,Cajueiro,Centro,Masculino,Parda,34.0,PAF,Rio,2012-04-25 20:00:00,609.0
,CVLI,Homicídio,25/04/2012,22:40,Barra de São Miguel,Centro,Masculino,Branca,34.0,PAF,Porta de Casa,2012-04-25 22:40:00,610.0
,CVLI,Homicídio,25/04/2012,23:00,Marechal Deodoro,Zona Rural,Masculino,Parda,16.0,PAF,Via Pública,2012-04-25 23:00:00,611.0
,CVLI,Homicídio,25/04/2012,08:30,Teotônio Vilela,Zona Rural,Masculino,Parda,32.0,PAF,Plantação,2012-04-25 08:30:00,612.0
,CVLI,Homicídio,26/04/2012,01:00,Murici,Centro,Masculino,Parda,27.0,BRANCA,Via Pública,2012-04-26 01:00:00,613.0
,CVLI,Homicídio,02/03/2015,21:34,Maceió,Benedito Bentes,Masculino,Parda,,ESPANCAMENTO,Local Público,2015-03-02 21:34:00,12089.0
,CVLI,Homicídio,26/04/2012,14:09,Feliz Deserto,Zona Rural,Masculino,NI,51.0,PAF,Dentro de Casa,2012-04-26 14:09:00,615.0
,CVLI,Homicídio,26/04/2012,17:25,Maribondo,Centro,Masculino,Branca,17.0,PAF,Próximo de Casa,2012-04-26 17:25:00,616.0
,CVLI,Homicídio,26/04/2012,20:00,Maceió,Feitosa,Masculino,NI,25.0,PAF/B,Via Pública,2012-04-26 20:00:00,617.0
,CVLI,Homicídio,26/04/2012,21:40,Marechal Deodoro,Centro,Masculino,Parda,16.0,PAF,Via Pública,2012-04-26 21:40:00,618.0
,CVLI,Homicídio,26/04/2012,21:40,Marechal Deodoro,Centro,Masculino,NI,15.0,PAF,Via Pública,2012-04-26 21:40:00,619.0
,CVLI,Homicídio,26/04/2012,22:00,Maceió,Centro,Masculino,Parda,21.0,PAF,Via Pública,2012-04-26 22:00:00,620.0
,CVLI,Homicídio,26/04/2012,23:00,Penedo,Centro,Masculino,NI,23.0,PAF,Via Pública,2012-04-26 23:00:00,621.0
,CVLI,Homicídio,27/04/2012,15:20,São Miguel dos Campos,Centro,Masculino,Parda,26.0,PAF,Via Pública,2012-04-27 15:20:00,622.0
,CVLI,Homicídio,27/04/2012,17:00,Estrela de Alagoas,Zona Rural,Masculino,NI,28.0,BRANCA,Via Pública,2012-04-27 17:00:00,623.0
,CVLI,Homicídio,27/04/2012,19:20,São Luís do Quitunde,Centro,Masculino,NI,21.0,PAF,Via Pública,2012-04-27 19:20:00,624.0
,CVLI,Lesão Corporal Seguida de Morte,28/04/2012,02:00,Maceió,Tabuleiro do Martins,Masculino,NI,21.0,ESPANCAMENTO,Imediações de Casa,2012-04-28 02:00:00,625.0
,CVLI,Homicídio,28/04/2012,03:00,Maceió,Fernão Velho,Masculino,Parda,20.0,PAF,Via Pública,2012-04-28 03:00:00,626.0
